Segment,Brand,Product Type
Refreshment Beverages,CADBURY BOURNVITA,Manufactured & Sold Locally
Refreshment Beverages,CADBURY 3-in-1 HOT CHOCOLATE,Manufactured & Sold Locally
Confectionery,TOMTOM CLASSIC,Manufactured & Sold Locally
Confectionery,TOMTOM STRAWBERRY,Manufactured & Sold Locally
Confectionery,BUTTERMINT,Manufactured & Sold Locally
Intermediate Cocoa Products,COCOA POWDER,Exported
Intermediate Cocoa Products,COCOA BUTTER,Exported
Intermediate Cocoa Products,COCOA LIQUOR,Exported
Intermediate Cocoa Products,COCOA CAKE,Exported
